metric,system,rep,mean,sd,min,max,last,n
rmsd_backbone,drugs2263,rep1,2.0158197491850816,0.4702709164671483,0.0005004,2.7123311,2.1004288,10001
rmsd_backbone,drugs2263,rep2,1.6466820154484552,0.5663358448129036,0.0005006,2.7569437,2.502022,10001
rmsd_backbone,drugs2263,rep3,1.6798500117988202,0.3091407645704324,0.0005031,2.1038814,1.7544048,10001
rmsd_backbone,drugs3003,rep1,1.3821630163983603,0.4786958115966367,0.0005017,2.3603628,1.7489567,10001
rmsd_backbone,drugs3003,rep2,2.648358981381862,0.43251095298765646,0.0004952,3.0255063,2.891994,10001
rmsd_backbone,drugs3003,rep3,1.0970527028997101,0.1579137837755232,0.0004974,1.6564636,1.3596001,10001
rmsd_backbone,drugs3523,rep1,1.6506322551144885,0.29829620216195357,0.0004921,2.3512664,2.3213773,10001
rmsd_backbone,drugs3523,rep2,1.5078039363563644,0.2412856809797085,0.0004918,2.2131157,1.6152552,10001
rmsd_backbone,drugs3523,rep3,1.5902093790020997,0.3542735781738079,0.0004951,2.051872,1.6628022,10001
rmsd_ligand_heavy,drugs2263,rep1,2.370176514958504,0.4664897298877641,0.0004475,3.5228496,2.260576,10001
rmsd_ligand_heavy,drugs2263,rep2,2.475831297070293,0.4533057359735833,0.0004575,3.5909936,2.5780506,10001
rmsd_ligand_heavy,drugs2263,rep3,2.3902927896410358,0.5041747509666368,0.0004978,4.0014191,2.3753102,10001
rmsd_ligand_heavy,drugs3003,rep1,0.813205006639336,0.3412327340823224,0.000475,2.0161064,0.5316648,10001
rmsd_ligand_heavy,drugs3003,rep2,0.7930646866213379,0.3323188998891178,0.0004747,1.6052063,1.0150497,10001
rmsd_ligand_heavy,drugs3003,rep3,0.8481439821217879,0.3804498978965665,0.0004847,1.9742103,0.8924618,10001
rmsd_ligand_heavy,drugs3523,rep1,1.7220988152384762,0.3901533321067537,0.0004891,2.9642022,2.2519741,10001
rmsd_ligand_heavy,drugs3523,rep2,1.7452354550044995,0.38664432659310727,0.0004661,2.7314899,1.9510728,10001
rmsd_ligand_heavy,drugs3523,rep3,1.8524972978202179,0.41032615648293963,0.0005088,2.87936,2.1772094,10001
rmsf_backbone_residue,drugs2263,rep1,0.9374707182320442,0.39054709727940645,0.2869,2.0114,0.7662,181
rmsf_backbone_residue,drugs2263,rep2,0.9852022099447514,0.30071410415797506,0.4452,1.8068,0.5041,181
rmsf_backbone_residue,drugs2263,rep3,0.5945027624309392,0.2003069029794417,0.2431,1.465,0.3501,181
rmsf_backbone_residue,drugs3003,rep1,0.8448193370165746,0.3045673277355968,0.3043,1.7088,0.6386,181
rmsf_backbone_residue,drugs3003,rep2,0.7470436464088398,0.28227922154799306,0.2894,1.5982,0.5744,181
rmsf_backbone_residue,drugs3003,rep3,0.451371270718232,0.142026935446292,0.2,1.0093,0.3362,181
rmsf_backbone_residue,drugs3523,rep1,0.6985751381215469,0.25343305009105077,0.3278,1.7262,0.4671,181
rmsf_backbone_residue,drugs3523,rep2,0.6904872928176795,0.2511371929264238,0.2687,1.3858,0.5145,181
rmsf_backbone_residue,drugs3523,rep3,0.640310497237569,0.28126424240536246,0.2576,1.5368,0.4297,181
gyrate_protein,drugs2263,rep1,2.4186780841915807,0.4763186957811433,1.90897,3.87129,2.17733,10001
gyrate_protein,drugs2263,rep2,4.193024481551845,0.42216439348662943,3.31048,5.17699,4.86074,10001
gyrate_protein,drugs2263,rep3,4.227963184681532,0.14147409081781295,3.42675,4.56949,4.2696,10001
gyrate_protein,drugs3003,rep1,2.9588072812718726,0.42385958572380755,2.1896,3.91735,2.53122,10001
gyrate_protein,drugs3003,rep2,1.9330063303669633,0.34765873624552057,1.72403,3.74079,1.79654,10001
gyrate_protein,drugs3003,rep3,3.4882022447755223,0.11296488737492938,3.06294,3.84044,3.6898,10001
gyrate_protein,drugs3523,rep1,2.7358550204979504,0.2679495664767944,2.09067,3.67725,2.1208,10001
gyrate_protein,drugs3523,rep2,2.804458891110889,0.1838831188345473,2.29633,3.67762,2.64553,10001
gyrate_protein,drugs3523,rep3,3.489360677932207,0.069613225455515,3.12796,3.72846,3.52604,10001
hbond_prot_lig,drugs2263,rep1,1.2596740325967404,0.9926039762839087,0.0,6.0,1.0,10001
hbond_prot_lig,drugs2263,rep2,0.9623037696230377,1.1294595398307938,0.0,7.0,0.0,10001
hbond_prot_lig,drugs2263,rep3,0.8224177582241776,0.7155846517782601,0.0,6.0,0.0,10001
hbond_prot_lig,drugs3003,rep1,1.0541945805419457,0.67428677410626,0.0,4.0,0.0,10001
hbond_prot_lig,drugs3003,rep2,1.2386761323867612,0.7897645264249845,0.0,4.0,2.0,10001
hbond_prot_lig,drugs3003,rep3,0.7005299470052995,0.5497351354316796,0.0,3.0,0.0,10001
hbond_prot_lig,drugs3523,rep1,0.46015398460153983,0.5737918928377878,0.0,3.0,2.0,10001
hbond_prot_lig,drugs3523,rep2,1.0973902609739026,0.8080310566934553,0.0,4.0,1.0,10001
hbond_prot_lig,drugs3523,rep3,0.9146085391460854,0.8530577760287258,0.0,4.0,2.0,10001
mindist_prot_lig,drugs2263,rep1,0.20031333514648536,0.024521076969181137,0.1486544,0.3194902,0.206315,10001
mindist_prot_lig,drugs2263,rep2,0.21798456887311268,0.028507405951584335,0.1589906,0.2993892,0.2000449,10001
mindist_prot_lig,drugs2263,rep3,0.20397839688031197,0.01880368560324508,0.1558017,0.286688,0.2242878,10001
mindist_prot_lig,drugs3003,rep1,0.22730963147685232,0.022685499330282882,0.1650365,0.3010731,0.2577712,10001
mindist_prot_lig,drugs3003,rep2,0.21957094527547244,0.027641179779746304,0.1636274,0.3005745,0.1989396,10001
mindist_prot_lig,drugs3003,rep3,0.25394062283771623,0.02199105531161973,0.1638685,0.3265917,0.3129265,10001
mindist_prot_lig,drugs3523,rep1,0.24290872865713428,0.022865367453669724,0.14613,0.3128802,0.2424605,10001
mindist_prot_lig,drugs3523,rep2,0.22453239116088392,0.02815393293483047,0.1586126,0.2953016,0.2328153,10001
mindist_prot_lig,drugs3523,rep3,0.21919600831916808,0.02513276606950868,0.1516341,0.2973314,0.2164833,10001
contacts_prot_lig,drugs2263,rep1,25.913608639136086,4.511555805531098,7.0,35.0,23.0,10001
contacts_prot_lig,drugs2263,rep2,23.06129387061294,4.161867692002165,7.0,36.0,28.0,10001
contacts_prot_lig,drugs2263,rep3,25.85041495850415,4.049224873700178,7.0,36.0,20.0,10001
contacts_prot_lig,drugs3003,rep1,18.05279472052795,3.648480839850488,6.0,34.0,15.0,10001
contacts_prot_lig,drugs3003,rep2,22.29217078292171,4.803959585303594,6.0,38.0,24.0,10001
contacts_prot_lig,drugs3003,rep3,17.14908509149085,3.69790094686955,2.0,29.0,7.0,10001
contacts_prot_lig,drugs3523,rep1,24.185481451854816,5.3388475526728545,7.0,42.0,31.0,10001
contacts_prot_lig,drugs3523,rep2,26.146685331466852,3.6408764414456325,9.0,38.0,20.0,10001
contacts_prot_lig,drugs3523,rep3,32.747425257474255,4.70510357165897,8.0,45.0,30.0,10001
